period,artifact,dcterms:coverage_temporal,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,significance,source_name
41BX68,Prehistoric,,,-12550,1690,,,1.0,"252.txt"
41RN101,Prehistoric,,,-12550,1690,,,0.111,"253.txt"
41RN173,Prehistoric,,,-12550,1690,,,0.139,"253.txt"
41TA29,Historic Period,,,1690,1950,,http://n2t.net/ark:/99152/p07fthdvbjk,0.056,"253.txt"
41RN174,Prehistoric,,,-12550,1690,,,0.472,"253.txt"
41TA1,Paleo-Indian period,,,-9550,-6850,,http://n2t.net/ark:/99152/p07fthdqd8t,0.028,"253.txt"
41RN174,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.472,"253.txt"
41RN101,Late Archaic,Castroville Point,2999,,,2499,,0.111,"253.txt"
41TV2404,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.265,"259 (with sites).txt"
41TV2404,Prehistoric,,,-12550,1690,,,0.265,"259 (with sites).txt"
41TV2403,Prehistoric,,,-12550,1690,,,0.353,"259 (with sites).txt"
41TV2403,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.353,"259 (with sites).txt"
41TV2402,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.324,"259 (with sites).txt"
41TV2402,Prehistoric,,,-12550,1690,,,0.324,"259 (with sites).txt"
41TV2105,Prehistoric,,,-12550,1690,,,0.029,"259 (with sites).txt"
41PC442,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.15,"2706_Tunis_3D_Permit 8608.txt"
41PC616,Prehistoric,,,-12550,1690,,,0.071,"2706_Tunis_3D_Permit 8608.txt"
41PC851,Archaic,Unknown Aboriginal,1949,,,150,,0.035,"2706_Tunis_3D_Permit 8608.txt"
41PC79,,Livermore Point,1200,,,800,,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC765,Prehistoric,,,-12550,1690,,,0.014,"2706_Tunis_3D_Permit 8608.txt"
41PC616,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.071,"2706_Tunis_3D_Permit 8608.txt"
41PC442,Late Archaic,,,-2050,0650,0750,http://n2t.net/ark:/99152/p0m448vtqnz,0.15,"2706_Tunis_3D_Permit 8608.txt"
41PC615,,Unknown Aboriginal,1949,,,150,,0.082,"2706_Tunis_3D_Permit 8608.txt"
41PC615,Paleoindian period,,,-9550,-6850,,http://n2t.net/ark:/99152/p07fthdqd8t,0.082,"2706_Tunis_3D_Permit 8608.txt"
41PC852,Archaic,Unknown Aboriginal,1949,,,150,,0.044,"2706_Tunis_3D_Permit 8608.txt"
41PC442,,Hueco Point,2999,,,1700,,0.15,"2706_Tunis_3D_Permit 8608.txt"
41PC443,,Langtry Point,4499,,,2999,,0.245,"2706_Tunis_3D_Permit 8608.txt"
41PC443,Prehistoric,,,-12550,1690,,,0.245,"2706_Tunis_3D_Permit 8608.txt"
41PC615,Late Archaic,,,-2050,0650,0750,http://n2t.net/ark:/99152/p0m448vtqnz,0.082,"2706_Tunis_3D_Permit 8608.txt"
41PC578,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.005,"2706_Tunis_3D_Permit 8608.txt"
41PC442,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.15,"2706_Tunis_3D_Permit 8608.txt"
41PC79,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC616,,Unknown Aboriginal,1949,,,150,,0.071,"2706_Tunis_3D_Permit 8608.txt"
41PC79,Prehistoric,,,-12550,1690,,,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC616,Early Historic,,1730,1690,1720,,http://n2t.net/ark:/99152/p07fthdjjrw,0.071,"2706_Tunis_3D_Permit 8608.txt"
41PC442,Prehistoric,,,-12550,1690,,,0.15,"2706_Tunis_3D_Permit 8608.txt"
41PC764,Prehistoric,,,-12550,1690,,,0.014,"2706_Tunis_3D_Permit 8608.txt"
41PC849,Archaic,Unknown Aboriginal,1949,,,150,,0.03,"2706_Tunis_3D_Permit 8608.txt"
41PC79,,Hueco Point,2999,,,1700,,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC79,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC79,Late Paleoindian,,,-8050,-6050,,http://n2t.net/ark:/99152/p0m448vm427,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC443,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.245,"2706_Tunis_3D_Permit 8608.txt"
41PC615,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.082,"2706_Tunis_3D_Permit 8608.txt"
41PC441,Prehistoric,,,-12550,1690,,,0.011,"2706_Tunis_3D_Permit 8608.txt"
41PC615,Prehistoric,,,-12550,1690,,,0.082,"2706_Tunis_3D_Permit 8608.txt"
41PC79,Early Archaic,,,-6850,-4050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.095,"2706_Tunis_3D_Permit 8608.txt"
41PC434,Prehistoric,,,-12550,1690,,,0.019,"2706_Tunis_3D_Permit 8608.txt"
41PC617,Prehistoric,,,-12550,1690,,,0.008,"2706_Tunis_3D_Permit 8608.txt"
41PC443,,Abasolo Point,6999,,,4999,,0.245,"2706_Tunis_3D_Permit 8608.txt"
41TV2157,Prehistoric,,,-12550,1690,,,0.182,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41TV1991,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.091,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41TV124,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.364,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41WM279,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.091,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41TV124,Prehistoric,,,-12550,1690,,,0.364,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41WM279,Prehistoric,,,-12550,1690,,,0.091,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41TV81,Prehistoric,,,-12550,1690,,,0.091,"2nd-copy_Blanton_Arch Inv for New Hope Road, City of Cedar Park, Travis and Williamson Cos., TX. TAC #4400.txt"
41TA237,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.023,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41TA275,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.465,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41TA275,Prehistoric,,,-12550,1690,,,0.465,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41TA69,Prehistoric,,,-12550,1690,,,0.07,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41TA238,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.023,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41TA276,Prehistoric,,,-12550,1690,,,0.395,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41TA229,Prehistoric,,,-12550,1690,,,0.023,"2nd-copy_Blanton_Arch Sur on FM 1235 between Buffalo Gap and View, Taylor Co., TX. TAC #4292.txt"
41WM820,Prehistoric,,,-12550,1690,,,0.111,"2nd-copy_Blanton_Intensive Arch Sur for Road Widening and Bridge Replacement, FM 685 between US 79 and SH 130, Williamson Co., TX. TAC #4350.txt"
41WM819,Prehistoric,,,-12550,1690,,,0.222,"2nd-copy_Blanton_Intensive Arch Sur for Road Widening and Bridge Replacement, FM 685 between US 79 and SH 130, Williamson Co., TX. TAC #4350.txt"
41WM1010,Prehistoric,,,-12550,1690,,,0.333,"2nd-copy_Blanton_Intensive Arch Sur for Road Widening and Bridge Replacement, FM 685 between US 79 and SH 130, Williamson Co., TX. TAC #4350.txt"
41WM1026,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.222,"2nd-copy_Blanton_Intensive Arch Sur for Road Widening and Bridge Replacement, FM 685 between US 79 and SH 130, Williamson Co., TX. TAC #4350.txt"
41WM1010,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.333,"2nd-copy_Blanton_Intensive Arch Sur for Road Widening and Bridge Replacement, FM 685 between US 79 and SH 130, Williamson Co., TX. TAC #4350.txt"
41WM1017,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.111,"2nd-copy_Blanton_Intensive Arch Sur for Road Widening and Bridge Replacement, FM 685 between US 79 and SH 130, Williamson Co., TX. TAC #4350.txt"
41IR76,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,1.0,"41IR76_Riemenschneider2012.txt"
41RE1,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.077,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN55,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.144,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41BX3,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.011,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN21,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.008,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN23,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.338,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41KM16,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.003,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN1,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.104,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN23,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.338,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN22,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.005,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN23,Prehistoric,,,-12550,1690,,,0.338,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN55,Prehistoric,,,-12550,1690,,,0.144,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN55,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.144,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41MN55,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.144,"41MN23_Mission_Santa_Cruz_San_Saba_Permits_4199_4317_withSites.txt"
41KM16,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.025,"438528_BTAS_All_txt copy.txt"
41TG346,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.02,"438528_BTAS_All_txt copy.txt"
41TG45,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.035,"438528_BTAS_All_txt copy.txt"
41MN23,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.025,"438528_BTAS_All_txt copy.txt"
41MN55,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.025,"438528_BTAS_All_txt copy.txt"
41TG346,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.02,"438528_BTAS_All_txt copy.txt"
41WM754,Early Archaic,,,-20550,-12050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.026,"5 PREWITT.txt"
41BC65,Early Archaic,,,-20550,-12050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.026,"5 PREWITT.txt"
41GL175,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.053,"5 PREWITT.txt"
41UV20,Uvalde ,,,-0299,0200,,http://n2t.net/ark:/99152/p0bw9m853bn,0.026,"5 PREWITT.txt"
41CM52,Late Archaic,,,-20550,-12050,,http://n2t.net/ark:/99152/p0m448vtqnz,0.026,"5 PREWITT.txt"
41KR243,Early Archaic,,,-20550,-12050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.026,"5 PREWITT.txt"
41KM16,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.286,"6 PERTTULA-Ceramics.txt"
41TG346,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.286,"6 PERTTULA-Ceramics.txt"
41TG346,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.286,"6 PERTTULA-Ceramics.txt"
41WM273,Prehistoric,,,-12550,1690,,,0.021,"AAG-135-TAC permit 4433.txt"
41WM133,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.021,"AAG-135-TAC permit 4433.txt"
41WM30,Twin Sisters,,,0150,0550,,http://n2t.net/ark:/99152/p0qkjhbjmhw,0.042,"AAG-135-TAC permit 4433.txt"
41WM21,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.062,"AAG-135-TAC permit 4433.txt"
41WM30,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.042,"AAG-135-TAC permit 4433.txt"
41WM930,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.042,"AAG-135-TAC permit 4433.txt"
41WM284,Twin Sisters,,,0150,0550,,http://n2t.net/ark:/99152/p0qkjhbjmhw,0.042,"AAG-135-TAC permit 4433.txt"
41WM1120,Prehistoric,,,-12550,1690,,,0.229,"AAG-135-TAC permit 4433.txt"
41WM283,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.021,"AAG-135-TAC permit 4433.txt"
41WM294,Twin Sisters,,,0150,0550,,http://n2t.net/ark:/99152/p0qkjhbjmhw,0.042,"AAG-135-TAC permit 4433.txt"
41WM294,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.042,"AAG-135-TAC permit 4433.txt"
41WM124,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.021,"AAG-135-TAC permit 4433.txt"
41WM284,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.042,"AAG-135-TAC permit 4433.txt"
41WM932,Prehistoric,,,-12550,1690,,,0.042,"AAG-135-TAC permit 4433.txt"
41WM432,Prehistoric,,,-12550,1690,,,0.062,"AAG-135-TAC permit 4433.txt"
41WM278,Prehistoric,,,-12550,1690,,,0.021,"AAG-135-TAC permit 4433.txt"
41WM933,Prehistoric,,,-12550,1690,,,0.042,"AAG-135-TAC permit 4433.txt"
41WM21,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.073,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM1063,Prehistoric,,,-12550,1690,,,0.159,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM124,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.012,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM133,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.037,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM30,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.024,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM294,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.024,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM283,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.012,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM828,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.317,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM284,Late Archaic Period,,,-2299,0400,1200,http://n2t.net/ark:/99152/p0t3585b2rd,0.024,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41WM828,Prehistoric,,,-12550,1690,,,0.317,"AAG-51-Pecan Branch-Tx Antiq Permit 2849.txt"
41BX1811,Prehistoric,,,-12550,1690,,,0.063,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX1810,Prehistoric,,,-12550,1690,,,0.07,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX1064,Prehistoric,,,-12550,1690,,,0.098,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX72,Prehistoric,,,-12550,1690,,,0.028,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX1812,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.15,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX197,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.003,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX631,Early Archaic,,,-6850,-4050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.024,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX180,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.003,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX1624,Late Archaic,,,-2050,0650,0750,http://n2t.net/ark:/99152/p0m448vtqnz,0.021,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX53,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.028,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX47,Late Paleoindian,,,-8050,-6050,,http://n2t.net/ark:/99152/p0m448vm427,0.22,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX184,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.007,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX223,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.003,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX631,,Ensor Dart,2199,,,1400,,0.024,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX1624,Early Archaic,,,-6850,-4050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.021,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX47,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.22,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX229,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.003,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX72,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.028,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX631,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.024,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX233,Prehistoric,,,-12550,1690,,,0.056,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX52,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.098,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX631,,Montell Dart,2999,,,1000,,0.024,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX631,,Guerrero Point,300,,,150,,0.024,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX631,,Castroville Dart,2999,,,2499,,0.024,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX1810,Early Archaic,,,-6850,-4050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.07,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX47,Early Archaic,,,-6850,-4050,,http://n2t.net/ark:/99152/p0m448vxj6h,0.22,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
41BX228,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.003,"acig_Arch_Survey_Leon_Creek_Greenway_SA_Bexar_Co_TX_TAC_5229.txt"
